bench_id	format	source_group	content_length	content_type	last_modified	etag	final_url	download_status	download_error
pdf_irs_p17	pdf	irs_publications					https://www.irs.gov/pub/irs-pdf/p17.pdf	reused	
pdf_irs_f1040	pdf	irs_publications					https://www.irs.gov/pub/irs-pdf/f1040.pdf	reused	
pdf_irs_p15	pdf	irs_publications					https://www.irs.gov/pub/irs-pdf/p15.pdf	reused	
pdf_nist_800_53r5	pdf	nist_publications					https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53r5.pdf	reused	
pdf_nist_800_61r2	pdf	nist_publications					https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-61r2.pdf	reused	
pdf_nist_800_171r3	pdf	nist_publications					https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-171r3.pdf	reused	
pdf_nist_800_207	pdf	nist_publications					https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207.pdf	reused	
pdf_nist_800_218	pdf	nist_publications					https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218.pdf	reused	
pdf_nist_ai_rmf	pdf	nist_publications					https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf	reused	
pdf_govinfo_budget_2025	pdf	govinfo						catalog_only	
docx_rail_cif_notes	docx	opendatani						catalog_only	
docx_ulsterbus_cif_notes	docx	opendatani						catalog_only	
docx_metro_cif_notes	docx	opendatani						catalog_only	
docx_bus_stop_defs	docx	opendatani						catalog_only	
docx_dvla_user_guide	docx	opendatani					https://data.dft.gov.uk/driving-licence-data/driving-licence-data-user-guide-sep-2017.docx	reused	
docx_manchester_parking_metadata	docx	opendatani						catalog_only	
docx_trade_union_2020	docx	opendatani						catalog_only	
docx_trade_union_2022	docx	opendatani						catalog_only	
docx_trade_union_2023	docx	opendatani						catalog_only	
docx_trade_union_2024	docx	opendatani						catalog_only	
pptx_staff_officer	pptx	opendatani						catalog_only	
pptx_deputy_principal	pptx	opendatani						catalog_only	
pptx_skills_academy	pptx	opendatani						catalog_only	
pptx_student_placement_2022	pptx	opendatani						catalog_only	
pptx_operational_apprentice	pptx	opendatani						catalog_only	
pptx_so_275969	pptx	opendatani						catalog_only	
pptx_eo_265817	pptx	opendatani						catalog_only	
pptx_nhs_diabetes	pptx	nhs_digital					https://files.digital.nhs.uk/A6/CD0E5A/NDA_DPP_MainReport_1718_1.1.pptx	reused	
pptx_ao_2019	pptx	opendatani						catalog_only	
pptx_ecgd_orgchart	pptx	govuk_orgcharts					https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/190928/ecgd-structure-chart-march-2012.pptx	reused	
xlsx_ons_mye24	xlsx	ons					https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2024/mye24tablesuk.xlsx	reused	
xlsx_ons_myeb_2011_2024	xlsx	ons					https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2011tomid2024/myebtablesuk20112024.xlsx	reused	
xlsx_ons_ukpop_1838_2024	xlsx	ons					https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/ukpopulationestimates1838to2024/ukpopulationestimates18382024.xlsx	reused	
xlsx_ons_mye23	xlsx	ons					https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2023/mye23tablesuk.xlsx	reused	
xlsx_ons_ukpop_1838_2023	xlsx	ons					https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/ukpopulationestimates1838to2023/ukpopulationestimates183820231.xlsx	reused	
xlsx_ons_myeb_2011_2022	xlsx	ons					https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2011tomid2022/myebtablesuk20112022.xlsx	reused	
xlsx_ons_mye22	xlsx	ons					https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2022/mye22final.xlsx	reused	
xlsx_ons_regional_1971_2020	xlsx	ons					https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2001tomid2020detailedtimeseries/regionalpopestimatesenglandandwales19712020.xlsx	reused	
xlsx_ons_ukpop_1838_2020	xlsx	ons					https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2001tomid2020detailedtimeseries/ukpopulationestimates18382020.xlsx	reused	
xlsx_ons_ukpop_1838_2019	xlsx	ons					https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/populationandmigration/populationestimates/datasets/populationestimatesforukenglandandwalesscotlandandnorthernireland/mid2001tomid2019detailedtimeseries/ukpopulationestimates18382019.xlsx	reused	
html_w3c_wcag22	html	w3c_specs					https://www.w3.org/TR/WCAG22/	reused	
html_w3c_svg2	html	w3c_specs					https://www.w3.org/TR/SVG2/	reused	
html_w3c_css_color4	html	w3c_specs					https://www.w3.org/TR/css-color-4/	reused	
html_w3c_css_grid2	html	w3c_specs					https://www.w3.org/TR/css-grid-2/	reused	
html_w3c_webaudio	html	w3c_specs					https://www.w3.org/TR/webaudio/	reused	
html_w3c_uievents	html	w3c_specs					https://www.w3.org/TR/uievents/	reused	
html_w3c_html_aria	html	w3c_specs					https://www.w3.org/TR/html-aria/	reused	
html_w3c_accname	html	w3c_specs					https://www.w3.org/TR/accname-1.2/	reused	
html_w3c_wai_aria	html	w3c_specs					https://www.w3.org/TR/wai-aria-1.2/	reused	
html_w3c_payment_request	html	w3c_specs					https://www.w3.org/TR/payment-request/	reused	
epub_gutenberg_moby_dick	epub	gutenberg_books					https://www.gutenberg.org/cache/epub/2701/pg2701-images-3.epub	reused	
epub_gutenberg_pride	epub	gutenberg_books						failed	('Connection broken: IncompleteRead(156837 bytes read, 24678779 more expected)', IncompleteRead(156837 bytes read, 24678779 more expected))
epub_gutenberg_frankenstein	epub	gutenberg_books						failed	('Connection broken: IncompleteRead(180503 bytes read, 293858 more expected)', IncompleteRead(180503 bytes read, 293858 more expected))
epub_gutenberg_dracula	epub	gutenberg_books						failed	('Connection broken: IncompleteRead(234563 bytes read, 367811 more expected)', IncompleteRead(234563 bytes read, 367811 more expected))
epub_gutenberg_sherlock	epub	gutenberg_books	379421	application/epub+zip	Mon, 01 Jun 2026 13:57:46 GMT		https://www.gutenberg.org/cache/epub/1661/pg1661-images-3.epub	downloaded	
epub_gutenberg_alice	epub	gutenberg_books					https://www.gutenberg.org/cache/epub/11/pg11-images-3.epub	reused	
epub_gutenberg_tale_two_cities	epub	gutenberg_books						failed	('Connection broken: IncompleteRead(222118 bytes read, 7699958 more expected)', IncompleteRead(222118 bytes read, 7699958 more expected))
epub_gutenberg_dorian_gray	epub	gutenberg_books					https://www.gutenberg.org/cache/epub/174/pg174-images-3.epub	reused	
epub_gutenberg_war_and_peace	epub	gutenberg_books						failed	('Connection broken: IncompleteRead(401638 bytes read, 1434085 more expected)', IncompleteRead(401638 bytes read, 1434085 more expected))
epub_gutenberg_ulysses	epub	gutenberg_books						failed	('Connection broken: IncompleteRead(512002 bytes read, 982269 more expected)', IncompleteRead(512002 bytes read, 982269 more expected))
