rank	split	gold_label	predicted_label	count	avg_confidence	max_confidence	high_conf_error_count_at_selected_threshold	predicted_label_group
1	heldout	list_item	paragraph	484	0.7017	0.9968	240	runtime_eligible
2	heldout	paragraph	list_item	327	0.6656	0.9789	131	runtime_eligible
3	heldout	list_item	heading	242	0.6734	0.9740	113	runtime_eligible
4	heldout	paragraph	heading	218	0.6541	0.9853	93	runtime_eligible
5	heldout	paragraph	caption	110	0.6477	0.9785	46	runtime_eligible
6	heldout	heading	list_item	93	0.6044	0.9913	26	runtime_eligible
7	heldout	heading	paragraph	79	0.6563	0.9868	29	runtime_eligible
8	heldout	caption	heading	67	0.7086	0.9883	30	runtime_eligible
9	heldout	paragraph	table_like	41	0.8153	0.9986	30	runtime_eligible
10	heldout	caption	paragraph	38	0.6105	0.9256	9	runtime_eligible
11	heldout	keep_as_text	list_item	32	0.7151	0.9921	19	runtime_eligible
12	heldout	table_like	paragraph	28	0.7720	0.9716	18	runtime_eligible
13	heldout	paragraph	keep_as_text	27	0.7399	0.9871	15	runtime_eligible
14	heldout	keep_as_text	paragraph	26	0.6804	0.9592	9	runtime_eligible
15	heldout	heading	caption	17	0.7546	0.9956	11	runtime_eligible
16	heldout	footer_header_noise	heading	15	0.7966	0.9685	13	runtime_eligible
17	heldout	paragraph	footer_header_noise	11	0.6159	0.9637	5	runtime_eligible
18	heldout	heading	table_like	9	0.8470	0.9924	8	runtime_eligible
19	heldout	list_item	table_like	9	0.7237	0.9697	6	runtime_eligible
20	heldout	heading	footer_header_noise	7	0.7578	0.9826	4	runtime_eligible
21	heldout	list_item	keep_as_text	7	0.6891	0.9251	4	runtime_eligible
22	heldout	table_like	list_item	7	0.7749	0.9906	4	runtime_eligible
23	heldout	list_item	caption	6	0.4342	0.6467	0	runtime_eligible
24	heldout	footer_header_noise	paragraph	5	0.5289	0.8110	1	runtime_eligible
25	heldout	table_like	heading	5	0.6054	0.8642	1	runtime_eligible
26	heldout	caption	list_item	4	0.5306	0.6256	0	runtime_eligible
27	heldout	caption	footer_header_noise	3	0.6208	0.7866	1	runtime_eligible
28	heldout	heading	keep_as_text	2	0.5781	0.7472	1	runtime_eligible
29	heldout	keep_as_text	heading	2	0.4040	0.4229	0	runtime_eligible
30	heldout	table_like	caption	2	0.4421	0.4544	0	runtime_eligible
