split	gate_type	confidence_threshold	margin_threshold	total_count	overall_accuracy_no_abstain	macro_f1_no_abstain	runtime_emitted_count	runtime_correct_count	runtime_high_conf_precision	runtime_high_conf_coverage	runtime_abstain_count	runtime_abstain_rate	accepted_accuracy	accepted_macro_f1	all_accepted_count	report_only_accepted_count	margin_available	meets_target_precision
heldout	combined_confidence_margin	0.50	0.00	11123	0.8269	0.8097	10522	8940	0.8496	0.9460	601	0.0540	0.8496	0.8323	10522	0	true	false
heldout	combined_confidence_margin	0.50	0.05	11123	0.8269	0.8097	10474	8922	0.8518	0.9417	649	0.0583	0.8518	0.8336	10474	0	true	false
heldout	combined_confidence_margin	0.50	0.10	11123	0.8269	0.8097	10359	8849	0.8542	0.9313	764	0.0687	0.8542	0.8357	10359	0	true	false
heldout	combined_confidence_margin	0.50	0.15	11123	0.8269	0.8097	10254	8784	0.8566	0.9219	869	0.0781	0.8566	0.8373	10254	0	true	false
heldout	combined_confidence_margin	0.50	0.20	11123	0.8269	0.8097	10097	8701	0.8617	0.9078	1026	0.0922	0.8617	0.8412	10097	0	true	false
heldout	combined_confidence_margin	0.50	0.25	11123	0.8269	0.8097	9905	8592	0.8674	0.8905	1218	0.1095	0.8674	0.8466	9905	0	true	false
heldout	combined_confidence_margin	0.50	0.30	11123	0.8269	0.8097	9676	8459	0.8742	0.8699	1447	0.1301	0.8742	0.8544	9676	0	true	false
heldout	combined_confidence_margin	0.50	0.35	11123	0.8269	0.8097	9430	8321	0.8824	0.8478	1693	0.1522	0.8824	0.8616	9430	0	true	false
heldout	combined_confidence_margin	0.50	0.40	11123	0.8269	0.8097	9179	8166	0.8896	0.8252	1944	0.1748	0.8896	0.8687	9179	0	true	false
heldout	combined_confidence_margin	0.50	0.45	11123	0.8269	0.8097	8911	7980	0.8955	0.8011	2212	0.1989	0.8955	0.8761	8911	0	true	false
heldout	combined_confidence_margin	0.50	0.50	11123	0.8269	0.8097	8624	7800	0.9045	0.7753	2499	0.2247	0.9045	0.8884	8624	0	true	true
heldout	combined_confidence_margin	0.55	0.00	11123	0.8269	0.8097	10114	8729	0.8631	0.9093	1009	0.0907	0.8631	0.8445	10114	0	true	false
heldout	combined_confidence_margin	0.55	0.05	11123	0.8269	0.8097	10114	8729	0.8631	0.9093	1009	0.0907	0.8631	0.8445	10114	0	true	false
heldout	combined_confidence_margin	0.55	0.10	11123	0.8269	0.8097	10114	8729	0.8631	0.9093	1009	0.0907	0.8631	0.8445	10114	0	true	false
heldout	combined_confidence_margin	0.55	0.15	11123	0.8269	0.8097	10071	8700	0.8639	0.9054	1052	0.0946	0.8639	0.8447	10071	0	true	false
heldout	combined_confidence_margin	0.55	0.20	11123	0.8269	0.8097	9966	8644	0.8673	0.8960	1157	0.1040	0.8673	0.8472	9966	0	true	false
heldout	combined_confidence_margin	0.55	0.25	11123	0.8269	0.8097	9819	8557	0.8715	0.8828	1304	0.1172	0.8715	0.8515	9819	0	true	false
heldout	combined_confidence_margin	0.55	0.30	11123	0.8269	0.8097	9644	8447	0.8759	0.8670	1479	0.1330	0.8759	0.8563	9644	0	true	false
heldout	combined_confidence_margin	0.55	0.35	11123	0.8269	0.8097	9427	8320	0.8826	0.8475	1696	0.1525	0.8826	0.8618	9427	0	true	false
heldout	combined_confidence_margin	0.55	0.40	11123	0.8269	0.8097	9179	8166	0.8896	0.8252	1944	0.1748	0.8896	0.8687	9179	0	true	false
heldout	combined_confidence_margin	0.55	0.45	11123	0.8269	0.8097	8911	7980	0.8955	0.8011	2212	0.1989	0.8955	0.8761	8911	0	true	false
heldout	combined_confidence_margin	0.55	0.50	11123	0.8269	0.8097	8624	7800	0.9045	0.7753	2499	0.2247	0.9045	0.8884	8624	0	true	true
heldout	combined_confidence_margin	0.60	0.00	11123	0.8269	0.8097	9679	8491	0.8773	0.8702	1444	0.1298	0.8773	0.8578	9679	0	true	false
heldout	combined_confidence_margin	0.60	0.05	11123	0.8269	0.8097	9679	8491	0.8773	0.8702	1444	0.1298	0.8773	0.8578	9679	0	true	false
heldout	combined_confidence_margin	0.60	0.10	11123	0.8269	0.8097	9679	8491	0.8773	0.8702	1444	0.1298	0.8773	0.8578	9679	0	true	false
heldout	combined_confidence_margin	0.60	0.15	11123	0.8269	0.8097	9679	8491	0.8773	0.8702	1444	0.1298	0.8773	0.8578	9679	0	true	false
heldout	combined_confidence_margin	0.60	0.20	11123	0.8269	0.8097	9679	8491	0.8773	0.8702	1444	0.1298	0.8773	0.8578	9679	0	true	false
heldout	combined_confidence_margin	0.60	0.25	11123	0.8269	0.8097	9622	8456	0.8788	0.8651	1501	0.1349	0.8788	0.8593	9622	0	true	false
heldout	combined_confidence_margin	0.60	0.30	11123	0.8269	0.8097	9512	8384	0.8814	0.8552	1611	0.1448	0.8814	0.8621	9512	0	true	false
heldout	combined_confidence_margin	0.60	0.35	11123	0.8269	0.8097	9360	8287	0.8854	0.8415	1763	0.1585	0.8854	0.8652	9360	0	true	false
heldout	combined_confidence_margin	0.60	0.40	11123	0.8269	0.8097	9163	8156	0.8901	0.8238	1960	0.1762	0.8901	0.8695	9163	0	true	false
heldout	combined_confidence_margin	0.60	0.45	11123	0.8269	0.8097	8909	7980	0.8957	0.8010	2214	0.1990	0.8957	0.8763	8909	0	true	false
heldout	combined_confidence_margin	0.60	0.50	11123	0.8269	0.8097	8624	7800	0.9045	0.7753	2499	0.2247	0.9045	0.8884	8624	0	true	true
heldout	combined_confidence_margin	0.65	0.00	11123	0.8269	0.8097	9262	8231	0.8887	0.8327	1861	0.1673	0.8887	0.8713	9262	0	true	false
heldout	combined_confidence_margin	0.65	0.05	11123	0.8269	0.8097	9262	8231	0.8887	0.8327	1861	0.1673	0.8887	0.8713	9262	0	true	false
heldout	combined_confidence_margin	0.65	0.10	11123	0.8269	0.8097	9262	8231	0.8887	0.8327	1861	0.1673	0.8887	0.8713	9262	0	true	false
heldout	combined_confidence_margin	0.65	0.15	11123	0.8269	0.8097	9262	8231	0.8887	0.8327	1861	0.1673	0.8887	0.8713	9262	0	true	false
heldout	combined_confidence_margin	0.65	0.20	11123	0.8269	0.8097	9262	8231	0.8887	0.8327	1861	0.1673	0.8887	0.8713	9262	0	true	false
heldout	combined_confidence_margin	0.65	0.25	11123	0.8269	0.8097	9262	8231	0.8887	0.8327	1861	0.1673	0.8887	0.8713	9262	0	true	false
heldout	combined_confidence_margin	0.65	0.30	11123	0.8269	0.8097	9262	8231	0.8887	0.8327	1861	0.1673	0.8887	0.8713	9262	0	true	false
heldout	combined_confidence_margin	0.65	0.35	11123	0.8269	0.8097	9194	8189	0.8907	0.8266	1929	0.1734	0.8907	0.8724	9194	0	true	false
heldout	combined_confidence_margin	0.65	0.40	11123	0.8269	0.8097	9070	8103	0.8934	0.8154	2053	0.1846	0.8934	0.8740	9070	0	true	false
heldout	combined_confidence_margin	0.65	0.45	11123	0.8269	0.8097	8884	7968	0.8969	0.7987	2239	0.2013	0.8969	0.8783	8884	0	true	false
heldout	combined_confidence_margin	0.65	0.50	11123	0.8269	0.8097	8622	7799	0.9045	0.7752	2501	0.2248	0.9045	0.8885	8622	0	true	true
heldout	combined_confidence_margin	0.70	0.00	11123	0.8269	0.8097	8793	7925	0.9013	0.7905	2330	0.2095	0.9013	0.8862	8793	0	true	true
