rank	split	gold_label	predicted_label	count	avg_confidence	avg_margin	max_confidence	max_margin	accepted_error_count_at_selected_gate	predicted_label_group
1	heldout	list_item	paragraph	484	0.7017	0.4567	0.9968	0.9940	240	runtime_eligible
2	heldout	paragraph	list_item	327	0.6656	0.4141	0.9789	0.9657	131	runtime_eligible
3	heldout	list_item	heading	242	0.6734	0.4603	0.9740	0.9613	113	runtime_eligible
4	heldout	paragraph	heading	218	0.6541	0.4344	0.9853	0.9789	93	runtime_eligible
5	heldout	paragraph	caption	110	0.6477	0.4019	0.9785	0.9582	46	runtime_eligible
6	heldout	heading	list_item	93	0.6044	0.3347	0.9913	0.9856	26	runtime_eligible
7	heldout	heading	paragraph	79	0.6563	0.4189	0.9868	0.9804	29	runtime_eligible
8	heldout	caption	heading	67	0.7086	0.5457	0.9883	0.9818	30	runtime_eligible
9	heldout	paragraph	table_like	41	0.8153	0.6711	0.9986	0.9974	30	runtime_eligible
10	heldout	caption	paragraph	38	0.6105	0.3538	0.9256	0.8902	9	runtime_eligible
11	heldout	keep_as_text	list_item	32	0.7151	0.5311	0.9921	0.9884	19	runtime_eligible
12	heldout	table_like	paragraph	28	0.7720	0.6182	0.9716	0.9455	18	runtime_eligible
13	heldout	paragraph	keep_as_text	27	0.7399	0.5474	0.9871	0.9759	15	runtime_eligible
14	heldout	keep_as_text	paragraph	26	0.6804	0.4728	0.9592	0.9286	9	runtime_eligible
15	heldout	heading	caption	17	0.7546	0.6120	0.9956	0.9923	11	runtime_eligible
16	heldout	footer_header_noise	heading	15	0.7966	0.6854	0.9685	0.9526	13	runtime_eligible
17	heldout	paragraph	footer_header_noise	11	0.6159	0.3914	0.9637	0.9362	5	runtime_eligible
18	heldout	heading	table_like	9	0.8470	0.7190	0.9924	0.9870	8	runtime_eligible
19	heldout	list_item	table_like	9	0.7237	0.5064	0.9697	0.9528	6	runtime_eligible
20	heldout	heading	footer_header_noise	7	0.7578	0.5450	0.9826	0.9667	4	runtime_eligible
21	heldout	list_item	keep_as_text	7	0.6891	0.4943	0.9251	0.8852	4	runtime_eligible
22	heldout	table_like	list_item	7	0.7749	0.5814	0.9906	0.9822	4	runtime_eligible
23	heldout	list_item	caption	6	0.4342	0.1580	0.6467	0.3645	0	runtime_eligible
24	heldout	footer_header_noise	paragraph	5	0.5289	0.2449	0.8110	0.6516	1	runtime_eligible
25	heldout	table_like	heading	5	0.6054	0.4052	0.8642	0.8111	1	runtime_eligible
26	heldout	caption	list_item	4	0.5306	0.2032	0.6256	0.4735	0	runtime_eligible
27	heldout	caption	footer_header_noise	3	0.6208	0.3862	0.7866	0.6455	1	runtime_eligible
28	heldout	heading	keep_as_text	2	0.5781	0.3176	0.7472	0.6099	1	runtime_eligible
29	heldout	keep_as_text	heading	2	0.4040	0.1336	0.4229	0.1924	0	runtime_eligible
30	heldout	table_like	caption	2	0.4421	0.1366	0.4544	0.1684	0	runtime_eligible
