split	label	label_group	gate_type	confidence_threshold	margin_threshold	total_gold_count	predicted_label_count	emitted_count	correct_emitted_count	high_conf_precision	recall_on_gold	prediction_coverage	abstain_or_block_count	accepted_macro_f1	meets_target_precision
heldout	heading	runtime_eligible	per_label_confidence	0.50		1715	2057	1899	1464	0.7709	0.8536	0.9232	9224	0.1451	false
heldout	heading	runtime_eligible	per_label_confidence	0.55		1715	2057	1824	1434	0.7862	0.8362	0.8867	9299	0.1467	false
heldout	heading	runtime_eligible	per_label_confidence	0.60		1715	2057	1738	1396	0.8032	0.8140	0.8449	9385	0.1485	false
heldout	heading	runtime_eligible	per_label_confidence	0.65		1715	2057	1667	1367	0.8200	0.7971	0.8104	9456	0.1502	false
heldout	heading	runtime_eligible	per_label_confidence	0.70		1715	2057	1577	1327	0.8415	0.7738	0.7667	9546	0.1523	false
heldout	heading	runtime_eligible	per_label_confidence	0.75		1715	2057	1471	1274	0.8661	0.7429	0.7151	9652	0.1547	false
heldout	heading	runtime_eligible	per_label_confidence	0.80		1715	2057	1376	1217	0.8844	0.7096	0.6689	9747	0.1564	false
heldout	heading	runtime_eligible	per_label_confidence	0.85		1715	2057	1250	1135	0.9080	0.6618	0.6077	9873	0.1586	true
heldout	heading	runtime_eligible	per_label_confidence	0.90		1715	2057	1091	1029	0.9432	0.6000	0.5304	10032	0.1942	true
heldout	heading	runtime_eligible	per_label_confidence	0.95		1715	2057	839	814	0.9702	0.4746	0.4079	10284	0.1970	true
heldout	paragraph	runtime_eligible	per_label_confidence	0.50		4393	4319	4126	3555	0.8616	0.8092	0.9553	6997	0.1322	false
heldout	paragraph	runtime_eligible	per_label_confidence	0.55		4393	4319	3970	3470	0.8741	0.7899	0.9192	7153	0.1333	false
heldout	paragraph	runtime_eligible	per_label_confidence	0.60		4393	4319	3802	3376	0.8880	0.7685	0.8803	7321	0.1344	false
heldout	paragraph	runtime_eligible	per_label_confidence	0.65		4393	4319	3640	3273	0.8992	0.7450	0.8428	7483	0.1353	false
heldout	paragraph	runtime_eligible	per_label_confidence	0.70		4393	4319	3436	3130	0.9109	0.7125	0.7956	7687	0.1362	true
heldout	paragraph	runtime_eligible	per_label_confidence	0.75		4393	4319	3234	2974	0.9196	0.6770	0.7488	7889	0.1369	true
heldout	paragraph	runtime_eligible	per_label_confidence	0.80		4393	4319	2996	2792	0.9319	0.6356	0.6937	8127	0.1378	true
heldout	paragraph	runtime_eligible	per_label_confidence	0.85		4393	4319	2676	2524	0.9432	0.5746	0.6196	8447	0.1618	true
heldout	paragraph	runtime_eligible	per_label_confidence	0.90		4393	4319	2265	2164	0.9554	0.4926	0.5244	8858	0.1629	true
heldout	paragraph	runtime_eligible	per_label_confidence	0.95		4393	4319	1560	1517	0.9724	0.3453	0.3612	9563	0.1972	true
heldout	caption	runtime_eligible	per_label_confidence	0.50		286	309	269	170	0.6320	0.5944	0.8706	10854	0.1936	false
heldout	caption	runtime_eligible	per_label_confidence	0.55		286	309	250	166	0.6640	0.5804	0.8091	10873	0.1995	false
heldout	caption	runtime_eligible	per_label_confidence	0.60		286	309	234	162	0.6923	0.5664	0.7573	10889	0.2045	false
heldout	caption	runtime_eligible	per_label_confidence	0.65		286	309	222	158	0.7117	0.5524	0.7184	10901	0.2772	false
heldout	caption	runtime_eligible	per_label_confidence	0.70		286	309	211	154	0.7299	0.5385	0.6828	10912	0.2813	false
