Entry	Entry Name	Protein names	Organism	Length
D6VTK4	STE2_YEAST	Pheromone alpha factor receptor	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	431
O14455	RL36B_YEAST	Large ribosomal subunit protein eL36B (60S ribosomal protein L36-B) (L39) (YL39)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	100
P00358	G3P2_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH 2) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332
P00359	G3P3_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 3 (GAPDH 3) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332
P00360	G3P1_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332
P00401	COX1_YEAST	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534
P00424	COX5A_YEAST	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153
P00431	CCPR_YEAST	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361
P00549	KPYK1_YEAST	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500
P00830	ATPB_YEAST	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511
P00927	THDH_YEAST	Threonine dehydratase, mitochondrial (EC 4.3.1.19) (Threonine deaminase)	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	576
