Entry	Entry Name	Protein names	Organism	Length
A0A1C3NEV1	MCR2_ECOLX	Phosphatidylethanolamine transferase Mcr-2 (EC 2.7.8.43) (Polymyxin resistance protein MCR-2)	Escherichia coli	538
A8C927	NPMA_ECOLX	16S rRNA (adenine(1408)-N(1))-methyltransferase (EC 2.1.1.180) (16S rRNA m1A1408 methyltransferase)	Escherichia coli	219
P06736	HLYC_ECOLX	Protein-lysine myristoyltransferase HlyC (EC 2.3.1.-) (Hemolysin C) (Hemolysin-activating lysine-acyltransferase HlyC) (Toxin-activating protein C, PHLY152)	Escherichia coli	170
P09983	HLYAC_ECOLX	Hemolysin, chromosomal	Escherichia coli	1023
P13988	TNSA_ECOLX	Transposon Tn7 transposition protein TnsA (Restriction enzyme-like endonuclease TnsA) (EC 3.1.21.-)	Escherichia coli	273
P16114	RNS_ECOLX	DNA-binding dual transcriptional regulator Rns (Regulatory protein Rns)	Escherichia coli	265
P22997	PARB4_ECOLX	Protein ParB (EC 3.1.-.-) (EC 3.1.12.-)	Escherichia coli	177
P62593	BLAT_ECOLX	Beta-lactamase TEM (EC 3.5.2.6) (IRT-4) (Penicillinase) (TEM-1) (TEM-16/CAZ-7) (TEM-2) (TEM-24/CAZ-6) (TEM-3) (TEM-4) (TEM-5) (TEM-6) (TEM-8/CAZ-2)	Escherichia coli	286
Q03155	AIDA_ECOLX	Autotransporter adhesin AIDA-I (Adhesin involved in diffuse adherence) (AIDA) [Cleaved into: Adhesin AIDA-I; AIDA-I translocator (AIDAc)]	Escherichia coli	1286
Q46731	TN5P_ECOLX	Transposase for transposon Tn5 (EC 3.1.-.-) (Tnp)	Escherichia coli	476
Q47098	HPCH_ECOLX	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase (EC 4.1.2.52) (2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase) (HHED aldolase) (4-hydroxy-2-ketoheptane-1,7-dioate aldolase) (HKHD aldolase)	Escherichia coli	262
Q6E7F1	FCF2_ECOLX	dTDP-fucopyranose mutase (EC 5.4.99.59) (dTDP-alpha-D-fucopyranose mutase)	Escherichia coli	377
Q6TDU5	TRAI3_ECOLX	Multifunctional conjugation protein TraI [Includes: DNA relaxase TraI (EC 5.6.2.-) (DNA nickase TraI) (Trans-esterase TraI); DNA helicase I (EC 5.6.2.3) (DNA 5'-3' helicase TraI)]	Escherichia coli	1756
Q9X2V7	MCJA_ECOLX	Microcin J25 (MccJ25) (Class II lasso peptide) (Ribosomally synthesized and post-translationally modified peptide) (RiPP)	Escherichia coli	58
A6M9B7	GLCT_ECOLX	O-antigen biosynthesis glycosyltransferase WclY (EC 2.4.1.-) (Alpha-1,4-glucosyltransferase) (Glucosyltransferase) (Glc-T) (Glycosyltransferase)	Escherichia coli	353
J7I4B7	WBDD_ECOLX	O-antigen chain terminator bifunctional methyltransferase/kinase WbdD [Includes: 3-O-phospho-polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol 3-phospho-methyltransferase (EC 2.1.1.294); Polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol kinase (EC 2.7.1.181)]	Escherichia coli	708
M4QN28	WBDA_ECOLX	Serotype-specific mannosyltransferase WbdA (EC 2.4.1.371) (Bifunctional alpha-(1->2), alpha-(1->3)-mannosyltransferase) (O-antigen chain mannosyltransferase A) (Polymannosyl GlcNAc-diphospho-ditrans,octacis-undecaprenol 2,3-alpha-mannosylpolymerase) [Includes: alpha-(1->2)-mannosyltransferase; alpha-(1->3)-mannosyltransferase]	Escherichia coli	840
P07676	TRFA_ECOLX	Plasmid replication initiator protein TrfA	Escherichia coli	382
P0C002	DHP1_ECOLX	Dihydropteroate synthase type-1 (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase type I) (Dihydropteroate synthase type I) (DHPS)	Escherichia coli	279
P13658	MBEA_ECOLX	DNA relaxase MbeA (EC 5.6.2.1) (DNA nickase) (Mobilization protein MbeA)	Escherichia coli	517
P13989	TNSB_ECOLX	Transposon Tn7 transposition protein TnsB	Escherichia coli	702
P28585	BLC1_ECOLX	Beta-lactamase CTX-M-1 (EC 3.5.2.6) (Beta-lactamase MEN-1) (Cefotaximase 1)	Escherichia coli	291
Q47454	PCOC_ECOLX	Copper resistance protein C	Escherichia coli	126
O50333	TRWI_ECOLX	Type IV secretion system protein TrwI	Escherichia coli	342
P00383	DYR21_ECOLX	Dihydrofolate reductase type 2 (EC 1.5.1.3) (Dihydrofolate reductase type II)	Escherichia coli	78
P00646	CEA3_ECOLX	Colicin E3 (EC 4.6.1.-) (Colicin E3 A chain) (colE3) (Ribonuclease)	Escherichia coli	551
P06717	ELAP_ECOLX	Heat-labile enterotoxin A chain (LT-A, porcine) (LTP-A)	Escherichia coli	258
P07112	MOBA2_ECOLX	Mobilization protein A (DNA strand transferase) [Includes: DNA relaxase (EC 5.6.2.1) (DNA nickase); DNA primase (EC 2.7.7.101)]	Escherichia coli	709
P09883	CEA9_ECOLX	Colicin-E9 (EC 3.1.-.-)	Escherichia coli	582
Q47692	TSH_ECOLX	Temperature-sensitive hemagglutinin tsh autotransporter (EC 3.4.21.-) (Autotransporter tsh) [Cleaved into: Temperature-sensitive hemagglutinin tsh; Temperature-sensitive hemagglutinin tsh translocator]	Escherichia coli	1377
Q6EZC3	SUBB_ECOLX	Subtilase cytotoxin subunit B	Escherichia coli	141
Q6XGD8	DNCV1_ECOLX	Cyclic GMP-AMP synthase (c-GAMP synthase) (c-GMP-AMP synthase) (EC 2.7.7.-) (3'3'-cGAMP synthase) (CD-NTase001) (Ec-DncV)	Escherichia coli	432
Q93K96	AAH_ECOLX	Autotransporter heptosyltransferase Aah (EC 2.4.99.-) (AIDA-associated heptosyltransferase) (Autotransporter adhesin heptosyltransferase)	Escherichia coli	391
A0A649V088	BLC14_ECOLX	Beta-lactamase CTX-M-14 (EC 3.5.2.6) (Cefotaximase 14)	Escherichia coli	291
O88093	HBP_ECOLX	Hemoglobin-binding protease hbp autotransporter (EC 3.4.21.-) [Cleaved into: Hemoglobin-binding protease hbp; Hemoglobin-binding protease hbp translocator (Helper peptide)]	Escherichia coli	1377
P04390	T2E5_ECOLX	Type II restriction enzyme EcoRV (R.EcoRV) (EC 3.1.21.4) (Endonuclease EcoRV) (Type-2 restriction enzyme EcoRV)	Escherichia coli	245
P06875	PAC_ECOLX	Penicillin G acylase (EC 3.5.1.11) (Penicillin G amidase) (Penicillin G amidohydrolase) [Cleaved into: Penicillin G acylase subunit alpha; Penicillin G acylase subunit beta]	Escherichia coli	846
P0DUW5	CIF_ECOLX	Protein-glutamine deamidase Cif (EC 3.5.1.44) (Cycle-inhibiting factor)	Escherichia coli	282
P10486	T1R1_ECOLX	Type I restriction enzyme EcoR124I/EcoR124II endonuclease subunit (EcoR124I/EcoR124II) (R protein) (EC 3.1.21.3) (Type I restriction enzyme EcoR124/EcoR124/3 endonuclease subunit) (Type I restriction-modification enzyme EcoR124I/EcoR124II HsdR endonuclease subunit) (HsdR)	Escherichia coli	1038
Q04230	TRWB_ECOLX	Type IV secretion system-coupling protein TrwB (EC 3.6.4.6) (Conjugative coupling protein TrwB) (DNA-dependent ATPase) (Type IV coupling protein) (T4CP)	Escherichia coli	507
Q6E7F2	FCF1_ECOLX	dTDP-4-dehydro-6-deoxyglucose reductase (EC 1.1.1.266) (dTDP-4-dehydro-6-deoxy-D-glucose reductase) (dTDP-4-keto-6-deoxyglucose reductase) (dTDP-6-deoxy-D-xylo-hex-4-ulopyranose reductase)	Escherichia coli	316
Q6EZC2	SUBA_ECOLX	Subtilase cytotoxin subunit A (EC 3.4.21.-)	Escherichia coli	347
Q8KSA6	BLC25_ECOLX	Beta-lactamase CTX-M-25 (EC 3.5.2.6) (Cefotaximase 25)	Escherichia coli	291
Q9MCI8	EIBD_ECOLX	Immunoglobulin-binding protein EibD (Trimeric autotransporter adhesin EibD) (TAA EibD) (Type 5 secretion system autotransporter EibD)	Escherichia coli	511
A0A0R6L508	MCR1_ECOLX	Phosphatidylethanolamine transferase Mcr-1 (EC 2.7.8.43) (Polymyxin resistance protein MCR-1)	Escherichia coli	541
O50337	TRWE_ECOLX	Type IV secretion system protein TrwE	Escherichia coli	395
P00642	T2E1_ECOLX	Type II restriction enzyme EcoRI (R.EcoRI) (EC 3.1.21.4) (Endonuclease EcoRI) (Type-2 restriction enzyme EcoRI)	Escherichia coli	277
P08692	ARSC1_ECOLX	Arsenate reductase (EC 1.20.4.1) (Arsenical pump modifier)	Escherichia coli	141
P0DV24	PYCC1_ECOLX	Cytidylate cyclase (EC 4.6.1.6) (Cyclic CMP synthase) (cCMP synthase) (EcPycC)	Escherichia coli	450
