Entry	Entry Name	Protein names	Organism	Length
A0A1P8AUY4	MDN1_ARATH	Midasin (AtMDN1) (Dynein-related AAA-ATPase MDN1) (MIDAS-containing protein 1) (Protein DWARF AND SHORT ROOT 1)	Arabidopsis thaliana (Mouse-ear cress)	5400
A0MES8	ABI4_ARATH	Ethylene-responsive transcription factor ABI4 (ERF ABI4) (Protein ABSCISIC ACID INSENSITIVE 4) (Protein GLUCOSE INSENSITIVE 6) (Protein IMPAIRED SUCROSE INDUCTION 3) (Protein SALOBRENO 5) (Protein SUCROSE UNCOUPLED 6) (Protein SUGAR INSENSITIVE 5)	Arabidopsis thaliana (Mouse-ear cress)	328
A1A6M1	PTAC5_ARATH	Protein disulfide isomerase pTAC5, chloroplastic (EC 5.3.4.1) (Protein PLASTID TRANSCRIPTIONALLY ACTIVE 5) (pTAC5)	Arabidopsis thaliana (Mouse-ear cress)	387
A2RVM0	TIC32_ARATH	Short-chain dehydrogenase TIC 32, chloroplastic (EC 1.1.1.-) (Translocon at the inner envelope membrane of chloroplasts 32) (AtTIC32)	Arabidopsis thaliana (Mouse-ear cress)	322
A3EWL3	REV1_ARATH	Translesion synthesis protein REV1 (Rev1-like terminal deoxycytidyl transferase) (Template-dependent deoxycytidyl transferase REV1) (AtREV1) (EC 2.7.7.-)	Arabidopsis thaliana (Mouse-ear cress)	1105
A7XGN8	LOV1B_ARATH	Disease susceptibility protein LOV1 (Disease resistance protein RPP8-like protein 1) (Protein LONG VEGETATIVE PHASE1)	Arabidopsis thaliana (Mouse-ear cress)	910
A8MQN2	LNK1_ARATH	Protein LNK1 (Night light-inducible and clock-regulated 1)	Arabidopsis thaliana (Mouse-ear cress)	616
A8MQY1	NAC68_ARATH	NAC domain-containing protein 68 (ANAC068) (Protein NAC WITH TRANSMEMBRANE MOTIF 1) (Protein NTM1-like 12)	Arabidopsis thaliana (Mouse-ear cress)	473
A8R7E6	CERK1_ARATH	Chitin elicitor receptor kinase 1 (AtCERK1) (EC 2.7.11.1) (LysM domain receptor-like kinase 1) (LysM RLK1) (LysM-containing receptor-like kinase 1)	Arabidopsis thaliana (Mouse-ear cress)	617
B0F481	BIODA_ARATH	Bifunctional dethiobiotin synthetase/7,8-diamino-pelargonic acid aminotransferase, mitochondrial (Bifunctional BIO3-BIO1 protein) [Includes: Dethiobiotin synthetase (EC 6.3.3.3) (DTB synthetase) (DTBS) (Protein BIOTIN AUXOTROPH 3); 7,8-diamino-pelargonic acid aminotransferase (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Adenosylmethionine-8-amino-7-oxononanoate aminotransferase) (EC 2.6.1.62) (Diaminopelargonic acid synthase) (Protein BIOTIN AUXOTROPH 1)]	Arabidopsis thaliana (Mouse-ear cress)	833
B5BT18	BTAF1_ARATH	TATA-binding protein-associated factor BTAF1 (AtBTAF1) (EC 3.6.4.-) (Protein BTAF1 homolog) (Protein ROOT GROWTH DEFECTIVE 3)	Arabidopsis thaliana (Mouse-ear cress)	2045
B5TYT3	OSC13_ARATH	Hyperosmolality-gated Ca2+ permeable channel 1.3 (AtOSCA1.3)	Arabidopsis thaliana (Mouse-ear cress)	771
B7ZWR6	OEP61_ARATH	Outer envelope protein 61 (Tetratricopeptide repeat domain-containing protein 7)	Arabidopsis thaliana (Mouse-ear cress)	554
B8XCH5	QKY_ARATH	Protein QUIRKY (Multiple C2 domain and transmembrane region protein 15)	Arabidopsis thaliana (Mouse-ear cress)	1081
B9DFZ0	NTH2_ARATH	Endonuclease III homolog 2, chloroplastic (AtNTH2) (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase 2) (DNA glycosylase/AP lyase 2)	Arabidopsis thaliana (Mouse-ear cress)	386
C0LGF4	FEI1_ARATH	LRR receptor-like serine/threonine-protein kinase FEI 1 (EC 2.7.11.1)	Arabidopsis thaliana (Mouse-ear cress)	591
C0LGG8	Y5343_ARATH	Probable LRR receptor-like serine/threonine-protein kinase At1g53430 (EC 2.7.11.1)	Arabidopsis thaliana (Mouse-ear cress)	1038
C0LGN2	Y3148_ARATH	Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840 (EC 2.7.11.1)	Arabidopsis thaliana (Mouse-ear cress)	1020
C0LGP2	MEE39_ARATH	Probable LRR receptor-like serine/threonine-protein kinase MEE39 (EC 2.7.11.1) (Protein MATERNAL EFFECT EMBRYO ARREST 39)	Arabidopsis thaliana (Mouse-ear cress)	878
C0LGR6	Y4291_ARATH	Probable LRR receptor-like serine/threonine-protein kinase At4g29180 (EC 2.7.11.1)	Arabidopsis thaliana (Mouse-ear cress)	913
C0LGS3	Y4372_ARATH	Probable LRR receptor-like serine/threonine-protein kinase At4g37250 (EC 2.7.11.1)	Arabidopsis thaliana (Mouse-ear cress)	768
C0LGT6	EFR_ARATH	LRR receptor-like serine/threonine-protein kinase EFR (EC 2.7.11.1) (Elongation factor Tu receptor) (EF-Tu receptor)	Arabidopsis thaliana (Mouse-ear cress)	1031
C6KIE6	XLG2_ARATH	Extra-large guanine nucleotide-binding protein 2 (Extra-large GTP-binding protein 2) (Extra-large G-protein 2)	Arabidopsis thaliana (Mouse-ear cress)	861
D0EL35	CTC1_ARATH	CST complex subunit CTC1 (Protein CONSERVED TELOMERE MAINTENANCE COMPONENT 1) (AtCTC1)	Arabidopsis thaliana (Mouse-ear cress)	1272
D1KF50	SRS2L_ARATH	ATP-dependent DNA helicase SRS2-like protein At4g25120 (EC 5.6.2.4) (AtSRS2) (DNA 3'-5' helicase At4g25120)	Arabidopsis thaliana (Mouse-ear cress)	1147
E1B328	WR52N_ARATH	Disease resistance protein RRS1 (Disease resistance protein RCH2) (Disease resistance protein SLH1) (Probable WRKY transcription factor 52) (Protein RPS4-homolog) (Protein SENSITIVE TO LOW HUMIDITY 1) (Resistance to Colletotrichum higginsianum 2 protein) (Resistance to Ralstonia solanacearum 1 protein) (WRKY DNA-binding protein 52)	Arabidopsis thaliana (Mouse-ear cress)	1378
E3VNM4	TGA10_ARATH	Transcription factor TGA10 (Protein TGACG (TGA) motif-binding protein 10) (bZIP transcription factor 65) (AtbZIP65)	Arabidopsis thaliana (Mouse-ear cress)	460
E5KGE0	BRIZ1_ARATH	BRAP2 RING ZnF UBP domain-containing protein 1 (EC 2.3.2.27)	Arabidopsis thaliana (Mouse-ear cress)	488
F4HQA1	PAF1_ARATH	Protein PAF1 homolog (Protein EARLY FLOWERING 7) (Protein VERNALIZATION INDEPENDENCE 2)	Arabidopsis thaliana (Mouse-ear cress)	589
F4HRV8	ASY1_ARATH	Meiosis-specific protein ASY1 (Protein ASYNAPTIC 1) (AtASY1)	Arabidopsis thaliana (Mouse-ear cress)	596
F4HU51	ACH2_ARATH	Acyl-CoA hydrolase 2 (AtACH2) (EC 3.1.2.20) (Acyl-CoA thioesterase II) (ACT-II) (Hexadecanoyl-CoA hydrolase ACH2) (EC 3.1.2.2)	Arabidopsis thaliana (Mouse-ear cress)	427
F4HVZ5	CSU2_ARATH	Protein COP1 SUPPRESSOR 2	Arabidopsis thaliana (Mouse-ear cress)	279
F4HXL0	PLIP2_ARATH	Phospholipase A1 PLIP2, chloroplastic (EC 3.1.1.32) (Galactolipase PLIP2) (EC 3.1.1.26) (Protein PLASTID LIPASE 2)	Arabidopsis thaliana (Mouse-ear cress)	713
F4HXP9	MYO9_ARATH	Myosin-9 (Myosin XI C) (AtXIC)	Arabidopsis thaliana (Mouse-ear cress)	1538
