Entry	Entry Name	Protein names	Organism	Length
A0A5F8MPU3	CTSRT_MOUSE	Cation channel sperm-associated targeting subunit tau (CatSper-tau) (C2 calcium-dependent domain-containing 6)	Mus musculus (Mouse)	2282
A0A5K7RLP0	MEIOS_MOUSE	Meiosis initiator protein	Mus musculus (Mouse)	589
A0AAQ4VMX2	CO4A_MOUSE	Complement C4-A (Sex-limited protein) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; Complement C4b-A; Complement C4 gamma chain]	Mus musculus (Mouse)	1734
A2A891	CMTA1_MOUSE	Calmodulin-binding transcription activator 1	Mus musculus (Mouse)	1682
A2A9F4	KDF1_MOUSE	Keratinocyte differentiation factor 1	Mus musculus (Mouse)	397
A2AC93	DNAI2_MOUSE	Dynein axonemal intermediate chain 2 (Axonemal dynein intermediate chain 2)	Mus musculus (Mouse)	623
A2AF47	DOC11_MOUSE	Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2)	Mus musculus (Mouse)	2073
A2AGT5	CKAP5_MOUSE	Cytoskeleton-associated protein 5	Mus musculus (Mouse)	2032
A2AIP0	CMI2B_MOUSE	Ciliary microtubule inner protein 2B	Mus musculus (Mouse)	273
A2AIW0	ENTR1_MOUSE	Endosome-associated-trafficking regulator 1 (Serologically defined colon cancer antigen 3)	Mus musculus (Mouse)	432
A2AJB7	LCN5_MOUSE	Epididymal-specific lipocalin-5 (Epididymal retinoic acid-binding protein) (E-RABP) (mE-RABP) (Epididymal secretory protein 10) (MEP 10) [Cleaved into: Epididymal-specific lipocalin-5, major form; Epididymal-specific lipocalin-5, minor form]	Mus musculus (Mouse)	192
A2AJK6	CHD7_MOUSE	ATP-dependent chromatin remodeler CHD7 (EC 3.6.4.-) (Chromo domain-containing protein 7) (CHD-7)	Mus musculus (Mouse)	2986
A2AJX4	MALR1_MOUSE	MAM and LDL-receptor class A domain-containing protein 1	Mus musculus (Mouse)	2123
A2AKQ0	S35D1_MOUSE	Nucleotide sugar transporter SLC35D1 (Solute carrier family 35 member D1) (UDP-galactose transporter-related protein 7) (UGTrel7) (UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter) (UDP-GlcA/UDP-GalNAc transporter)	Mus musculus (Mouse)	355
A2ALS5	RPGP1_MOUSE	Rap1 GTPase-activating protein 1 (Rap1GAP) (Rap1GAP1) (ARPP-90)	Mus musculus (Mouse)	663
A2APB8	TPX2_MOUSE	Targeting protein for Xklp2	Mus musculus (Mouse)	745
A2APC3	TTLL9_MOUSE	Probable tubulin polyglutamylase TTLL9 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 9)	Mus musculus (Mouse)	461
A2AQ07	TBB1_MOUSE	Tubulin beta-1 chain	Mus musculus (Mouse)	451
A2AU37	RD21L_MOUSE	Double-strand-break repair protein rad21-like protein 1	Mus musculus (Mouse)	552
A2AWP0	BIRC7_MOUSE	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Livin) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30 kDa subunit (Truncated livin) (p30-Livin) (tLivin)]	Mus musculus (Mouse)	285
A2AWR3	LYCHS_MOUSE	Lysosomal cholesterol signaling protein (LYCHOS)	Mus musculus (Mouse)	868
A2AX52	CO6A4_MOUSE	Collagen alpha-4(VI) chain	Mus musculus (Mouse)	2309
A2CG49	KALRN_MOUSE	Kalirin (EC 2.7.11.1) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain)	Mus musculus (Mouse)	2964
A2CG63	ARI4B_MOUSE	AT-rich interactive domain-containing protein 4B (ARID domain-containing protein 4B) (180 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p180) (Histone deacetylase complex subunit SAP180)	Mus musculus (Mouse)	1314
A3KFM7	CHD6_MOUSE	ATP-dependent chromatin remodeler CHD6 (EC 3.6.4.-) (Chromo domain-containing protein 6) (CHD-6)	Mus musculus (Mouse)	2711
A3KGS3	RGPA2_MOUSE	Ral GTPase-activating protein subunit alpha-2 (250 kDa substrate of Akt) (AS250) (P220)	Mus musculus (Mouse)	1872
A4Q9E5	TTLL3_MOUSE	Tubulin monoglycylase TTLL3 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 3)	Mus musculus (Mouse)	927
A4Q9F0	TTLL7_MOUSE	Tubulin polyglutamylase TTLL7 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 7) (mTTLL7)	Mus musculus (Mouse)	912
A4Q9F4	TTL11_MOUSE	Tubulin polyglutamylase TTLL11 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 11)	Mus musculus (Mouse)	727
A4UUI3	GBP4_MOUSE	Guanylate-binding protein 4 (EC 3.6.5.-) (GTP-binding protein 4) (GBP-4) (Guanine nucleotide-binding protein 4)	Mus musculus (Mouse)	631
A6H5Y3	METH_MOUSE	Methionine synthase (MS) (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Cobalamin-dependent methionine synthase) (Vitamin-B12 dependent methionine synthase)	Mus musculus (Mouse)	1253
A6H687	SAC31_MOUSE	SAC3 domain-containing protein 1 (SAC3 homology domain-containing protein 1)	Mus musculus (Mouse)	427
B1AS29	GRIK3_MOUSE	Glutamate receptor ionotropic, kainate 3 (GluK3) (Glutamate receptor 7) (GluR-7) (GluR7)	Mus musculus (Mouse)	919
B1AXD8	AKIR2_MOUSE	Akirin-2	Mus musculus (Mouse)	201
B1AZ99	OTUD3_MOUSE	OTU domain-containing protein 3 (EC 3.4.19.12)	Mus musculus (Mouse)	396
