Entry	Entry Name	Protein names	Organism	Length
Q2M385	MPEG1_HUMAN	Macrophage-expressed gene 1 protein (Macrophage gene 1 protein) (Mpg-1) (Perforin-2) (P-2) [Cleaved into: Macrophage-expressed gene 1 protein, processed form]	Homo sapiens (Human)	716
A0A1B0GTW7	CIROP_HUMAN	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)	Homo sapiens (Human)	788
A0PK11	CLRN2_HUMAN	Clarin-2	Homo sapiens (Human)	232
A1L3X0	ELOV7_HUMAN	Very long chain fatty acid elongase 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Elongation of very long chain fatty acids protein 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	Homo sapiens (Human)	281
A2A2Y4	FRMD3_HUMAN	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)	Homo sapiens (Human)	597
A2RU14	TM218_HUMAN	Transmembrane protein 218	Homo sapiens (Human)	115
A5PLL7	PEDS1_HUMAN	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)	Homo sapiens (Human)	270
A6BM72	MEG11_HUMAN	Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)	Homo sapiens (Human)	1044
A6NI61	MYMK_HUMAN	Protein myomaker (Myoblast fusion maker) (Transmembrane protein 226) (Transmembrane protein 8C)	Homo sapiens (Human)	221
A6NKB5	PCX2_HUMAN	Pecanex-like protein 2 (Pecanex homolog protein 2)	Homo sapiens (Human)	2137
A6NNB3	IFM5_HUMAN	Interferon-induced transmembrane protein 5 (Bone-restricted interferon-induced transmembrane protein-like protein) (BRIL) (Dispanin subfamily A member 1) (DSPA1)	Homo sapiens (Human)	132
A6QL63	ABTB3_HUMAN	Ankyrin repeat- and BTB/POZ domain-containing protein 3 (BTB/POZ domain-containing protein 11)	Homo sapiens (Human)	1104
B6A8C7	TARM1_HUMAN	T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)	Homo sapiens (Human)	271
B7U540	KCJ18_HUMAN	Inward rectifier potassium channel 18 (Inward rectifier K(+) channel Kir2.6) (Potassium channel, inwardly rectifying subfamily J member 18)	Homo sapiens (Human)	433
D3W0D1	KLRF2_HUMAN	Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65)	Homo sapiens (Human)	207
E0CX11	STMP1_HUMAN	Short transmembrane mitochondrial protein 1	Homo sapiens (Human)	47
O00168	PLM_HUMAN	Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1)	Homo sapiens (Human)	92
O00237	RN103_HUMAN	E3 ubiquitin-protein ligase RNF103 (EC 2.3.2.27) (KF-1) (hKF-1) (RING finger protein 103) (RING-type E3 ubiquitin transferase RNF103) (Zinc finger protein 103 homolog) (Zfp-103)	Homo sapiens (Human)	685
O00254	PAR3_HUMAN	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)	Homo sapiens (Human)	374
O00322	UPK1A_HUMAN	Uroplakin-1a (UP1a) (Tetraspanin-21) (Tspan-21) (Uroplakin Ia) (UPIa) (UPKa)	Homo sapiens (Human)	258
O00337	S28A1_HUMAN	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)	Homo sapiens (Human)	649
O00400	ACATN_HUMAN	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	Homo sapiens (Human)	549
O00453	LST1_HUMAN	Leukocyte-specific transcript 1 protein (Protein B144)	Homo sapiens (Human)	97
O00478	BT3A3_HUMAN	Butyrophilin subfamily 3 member A3	Homo sapiens (Human)	584
O00591	GBRP_HUMAN	Gamma-aminobutyric acid receptor subunit pi (GABA(A) receptor subunit pi) (GABAAR subunit pi)	Homo sapiens (Human)	440
O00624	NPT3_HUMAN	Sodium-dependent phosphate transport protein 3 (Na(+)/PI cotransporter 3) (Sodium/phosphate cotransporter 3) (Solute carrier family 17 member 2)	Homo sapiens (Human)	439
O14524	NEMP1_HUMAN	Nuclear envelope integral membrane protein 1	Homo sapiens (Human)	444
O14548	CO72L_HUMAN	Cytochrome c oxidase subunit 7A2-like, mitochondrial (Cytochrome c oxidase subunit 7A-related protein) (COX7a-related protein) (Cytochrome c oxidase subunit VIIa-related protein) (EB1) (Supercomplex assembly factor 1)	Homo sapiens (Human)	114
