Entry	Entry Name	Protein names	Organism	Length
P38398	BRCA1_HUMAN	Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1)	Homo sapiens (Human)	1863
P48754	BRCA1_MOUSE	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Mus musculus (Mouse)	1812
O54952	BRCA1_RAT	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Rattus norvegicus (Rat)	1817
Q864U1	BRCA1_BOVIN	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Bos taurus (Bovine)	1849
Q8RXD4	BRCA1_ARATH	Protein BREAST CANCER SUSCEPTIBILITY 1 homolog (AtBRCA1)	Arabidopsis thaliana (Mouse-ear cress)	941
Q6J6I8	BRCA1_GORGO	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Gorilla gorilla gorilla (Western lowland gorilla)	1863
Q6J6J0	BRCA1_PONPY	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Pongo pygmaeus (Bornean orangutan)	1863
Q95153	BRCA1_CANLF	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Canis lupus familiaris (Dog) (Canis familiaris)	1878
Q6J6I9	BRCA1_MACMU	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Macaca mulatta (Rhesus macaque)	1863
Q9GKK8	BRCA1_PANTR	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Pan troglodytes (Chimpanzee)	1863
A0AAA9SKW6	A0AAA9SKW6_BOVIN	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Bos taurus (Bovine)	1848
A0A8C2YUW0	A0A8C2YUW0_CHILA	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Chinchilla lanigera (Long-tailed chinchilla) (Chinchilla villidera)	1696
A0A286ZS33	A0A286ZS33_PIG	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Sus scrofa (Pig)	1845
A0A2I3RZS7	A0A2I3RZS7_PANTR	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Pan troglodytes (Chimpanzee)	1884
A0A2K5C6K8	A0A2K5C6K8_AOTNA	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Aotus nancymaae (Ma's night monkey)	1827
A0A2K6MZL2	A0A2K6MZL2_RHIBE	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti)	1818
A0A452G8S4	A0A452G8S4_CAPHI	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Capra hircus (Goat)	1843
A0A663DLH8	A0A663DLH8_AQUCH	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Aquila chrysaetos chrysaetos	1866
A0A672UKQ4	A0A672UKQ4_STRHB	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Strigops habroptila (Kakapo)	1700
A0A7M4ELS9	A0A7M4ELS9_CROPO	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Crocodylus porosus (Saltwater crocodile) (Estuarine crocodile)	1663
A0A8C0RAP1	A0A8C0RAP1_CANLF	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Canis lupus familiaris (Dog) (Canis familiaris)	1878
A0A8C7ERP6	A0A8C7ERP6_NEOVI	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Neovison vison (American mink) (Mustela vison)	1873
F7GXA1	F7GXA1_CALJA	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Callithrix jacchus (White-tufted-ear marmoset) (Simia Jacchus)	1884
A0A2K5QMV3	A0A2K5QMV3_CEBIM	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator)	1830
A0A2K5VLL8	A0A2K5VLL8_MACFA	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	1884
A0A2K6TRA3	A0A2K6TRA3_SAIBB	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	1673
A0A6I9HU72	A0A6I9HU72_GEOFO	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Geospiza fortis (Medium ground-finch)	1794
A0A8B9C5M6	A0A8B9C5M6_9AVES	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Anser brachyrhynchus (Pink-footed goose)	1841
A0A8C0QSE0	A0A8C0QSE0_CHEAB	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Chelonoidis abingdonii (Abingdon island giant tortoise) (Testudo abingdonii)	1684
A0A8C2M647	A0A8C2M647_CRIGR	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	1813
A0A8C3HUC5	A0A8C3HUC5_CHRPI	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRCA1)	Chrysemys picta bellii (Western painted turtle) (Emys bellii)	1901
A0A8I3N406	A0A8I3N406_CANLF	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Canis lupus familiaris (Dog) (Canis familiaris)	1878
G3S764	G3S764_GORGO	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Gorilla gorilla gorilla (Western lowland gorilla)	1824
A0A2K5YGJ8	A0A2K5YGJ8_MANLE	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Mandrillus leucophaeus (Drill) (Papio leucophaeus)	1843
A0A2R9AFG1	A0A2R9AFG1_PANPA	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Pan paniscus (Pygmy chimpanzee) (Bonobo)	1849
A0A6P5QLK8	A0A6P5QLK8_MUSCR	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Mus caroli (Ryukyu mouse) (Ricefield mouse)	1809
A0A8B9WLW7	A0A8B9WLW7_BOSMU	Breast cancer type 1 susceptibility protein homolog (EC 2.3.2.27)	Bos mutus grunniens (Wild yak) (Bos grunniens)	1855
